Filename Data Waveband Target "Polaroid Angle" Binning Lights
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.094.fits OBJECT V script_test 400 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.095.fits OBJECT V script_test 400 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.096.fits OBJECT V script_test 400 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.097.fits OBJECT V script_test 600 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.098.fits OBJECT V script_test 600 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.099.fits OBJECT V script_test 600 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.100.fits OBJECT V script_test 600 1 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.101.fits FLAT V script_test 0 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.102.fits FLAT V script_test 400 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.103.fits FLAT V script_test 200 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.104.fits FLAT V script_test 600 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.105.fits FLAT V script_test 0 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.106.fits FLAT V script_test 400 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.107.fits FLAT V script_test 200 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.108.fits FLAT V script_test 600 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.109.fits FLAT V script_test 0 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.110.fits FLAT V script_test 400 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.111.fits FLAT V script_test 200 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.112.fits FLAT V script_test 600 4 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.113.fits OBJECT V NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.114.fits OBJECT V NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.115.fits OBJECT V NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.116.fits OBJECT V NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.117.fits OBJECT V NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.118.fits OBJECT V NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.119.fits OBJECT V NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.120.fits OBJECT V NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.121.fits OBJECT V NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.122.fits OBJECT V NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.123.fits OBJECT V NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.124.fits OBJECT V NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.125.fits OBJECT V NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.126.fits OBJECT V NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.127.fits OBJECT V NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.128.fits OBJECT V NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.129.fits OBJECT R NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.130.fits OBJECT R NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.131.fits OBJECT R NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.132.fits OBJECT R NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.133.fits OBJECT R NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.134.fits OBJECT R NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.135.fits OBJECT R NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.136.fits OBJECT R NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.137.fits OBJECT R NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.138.fits OBJECT R NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.139.fits OBJECT R NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.140.fits OBJECT R NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.141.fits OBJECT R NGC7023_V_Test_ABBA_UQ 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.142.fits OBJECT R NGC7023_V_Test_ABBA_UQ 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.143.fits OBJECT R NGC7023_V_Test_ABBA_UQ 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.144.fits OBJECT R NGC7023_V_Test_ABBA_UQ 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.145.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.146.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.147.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.148.fits OBJECT V NGC7023_V1 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.149.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.150.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.151.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.152.fits OBJECT V NGC7023_V1 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.153.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.154.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.155.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.156.fits OBJECT V NGC7023_V1 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.157.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.158.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.159.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.160.fits OBJECT V NGC7023_V1 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.161.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.162.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.163.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.164.fits OBJECT V NGC7023_V1 600 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.165.fits OBJECT V NGC7023_V1 0 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.166.fits OBJECT V NGC7023_V1 400 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.167.fits OBJECT V NGC7023_V1 200 2 N/A
/home/jordan/ThesisData/PRISM_Data/Raw_data/20150117/PRISM_Images/20150117.168.fits OBJECT V NGC7023_V1 600 2 N/A
